name,developer,publisher,release date,rating,24hour-peak-user,
Enter the Gungeon,Dodge Roll,Devolver Digital,"April 5, 2016 ??12:59:00 UTC (4 years ago)",? 93,"2,009",
KurtzPel,KOG,KOG,"April 30, 2019 ??16:00:49 UTC (9 months ago)",? 68,"2,030",
Gems of War,Store Name Gems of War - Puzzle RPG,"Developer
Infinity Plus 2","November 20, 2014 ??19:33:59 UTC (5 years ago)",? 76,"2,003",
Disco Elysium,ZA/UM,ZA/UM,"October 15, 2019 ??16:01:11 UTC (3 months ago)",? 92,"2,026",
Dragon Cliff 龙崖,Store Name Dragon Cliff,"Developer
Meta Interaction","May 11, 2018 ??13:17:57 UTC (2 years ago)",? 85,"2,090",
Farm Together,Milkstone Studios,Milkstone Studios,"October 11, 2018 ??16:57:00 UTC (about a year ago)",? 90,"1,994",
Firestone Idle RPG,Holyday Studios,Holyday Studios,"September 26, 2019 ??11:52:06 UTC (4 months ago)",? 81,"1,959",
Age of Mythology: Extended Edition,SkyBox Labs,Xbox Game Studios,"May 8, 2014 ??17:00:00 UTC (6 years ago)",? 85,"2,033",
Neverwinter,Cryptic Studios,Perfect World Entertainment,"December 5, 2013 ??20:01:00 UTC (6 years ago)",? 76,"2,115",
Company of Heroes,Store Name Company of Heroes,"Developer
Relic Entertainment","September 11, 2006 (13 years ago)",? 88,"1,929",
Subnautica: Below Zero,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"January 30, 2019 ??18:02:09 UTC (12 months ago)",? 90,"1,906",
GTFO,10 Chambers Collective,10 Chambers Collective,"December 9, 2019 ??20:02:41 UTC (about a month ago)",? 86,"1,901",
Football Manager 2016,SPORTS INTERACTIVE,SEGA,"November 13, 2015 ??18:00:00 UTC (4 years ago)","1,850","1,850",
Tree of Savior (English Ver.),"IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.","March 28, 2016 ??14:01:00 UTC (4 years ago)",? 61,"1,866",
Onmyoji,NetEase Games,NetEase Games,"April 18, 2018 ??23:30:22 UTC (2 years ago)",? 72,"1,856",
Kritika:REBOOT,"ALLM Co., Ltd.","ALLM Co., Ltd.","November 12, 2019 ??07:11:00 UTC (2 months ago)",? 74,"1,795",
Endless World Idle RPG,Radiance Games,Radiance Games,"December 6, 2019 ??03:05:00 UTC (about a month ago)",? 73,"1,846",
Tree of Savior (Japanese Ver.),"IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.","November 28, 2019 ??03:38:42 UTC (about a month ago)",??62,"1,937",
FINAL FANTASY XV WINDOWS EDITION,Square Enix,Square Enix,"March 6, 2018 ??16:57:59 UTC (2 years ago)",? 77,"1,781",
Blender,Blender Foundation,Blender Foundation,"April 24, 2015 ??14:17:00 UTC (5 years ago)",? 93,"1,814",
Insurgency,New World Interactive,New World Interactive,"January 22, 2014 ??20:21:00 UTC (6 years ago)",? 89,"1,878",
SAO Utils,Store Name SAO Utils: Beta,"Developer
Joshua Chen","March 14, 2018 ??16:04:00 UTC (2 years ago)",? 78,"1,886",
Hell Let Loose,Black Matter Pty Ltd,Team17 Digital Ltd,"June 6, 2019 ??09:58:56 UTC (7 months ago)",? 78,"2,298",
Rome: Total War,Store Name Rome: Total War??- Collection,"Developer
CREATIVE ASSEMBLY","August 28, 2007 ??20:00:00 UTC (12 years ago)",? 90,"1,798",
AdVenture Capitalist,Hyper Hippo Games,Hyper Hippo Games,"March 30, 2015 ??15:59:00 UTC (5 years ago)",? 87,"1,979",
Total War: NAPOLEON - Definitive Edition,Store Name Total War: NAPOLEON ??Definitive Edition,"Developer
CREATIVE ASSEMBLY","February 25, 2010 ??23:00:00 UTC (10 years ago)",? 87,"1,738",
Fishing Planet,Fishing Planet LLC,Fishing Planet LLC,"August 28, 2017 ??16:02:00 UTC (2 years ago)",? 76,"1,738",
Black Desert Online SA,Pearl Abyss,RedFox Games,"November 15, 2017 ??23:50:00 UTC (2 years ago)",? 75,"2,362",
Cuisine Royale,Darkflow Software,Gaijin Distribution KFT,"December 12, 2019 ??18:51:20 UTC (30 days ago)",? 78,"1,752",
Tom Clancy's Ghost Recon® Wildlands,Ubisoft Paris,Ubisoft,NULL,? 73,"1,765",
PlanetSide 2,Daybreak Game Company,Daybreak Game Company,"November 20, 2012 ??17:55:00 UTC (7 years ago)",? 80,"1,732",
Devil May Cry 5,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","March 8, 2019 ??00:00:00 UTC (10 months ago)",? 92,"1,847",
Titan Quest Anniversary Edition,Iron Lore Entertainment,THQ Nordic,"August 31, 2016 ??16:44:00 UTC (3 years ago)",? 88,"1,716",
Grand Theft Auto: San Andreas,Rockstar Games,Rockstar Games,"January 4, 2008 ??18:01:00 UTC (12 years ago)",? 88,"1,693",
Half-Life 2,Valve,Valve,"November 16, 2004 ??08:00:00 UTC (15 years ago)",? 95,"1,671",
Transport Fever,Urban Games,Good Shepherd Entertainment,"November 8, 2016 ??07:59:29 UTC (3 years ago)",? 79,"1,679",
Stay Out,Mobile Technologies LLC,Mobile Technologies LLC,"November 27, 2019 ??08:24:41 UTC (2 months ago)",? 45,"1,656",
FTL: Faster Than Light,Subset Games,Subset Games,"September 14, 2012 ??17:00:00 UTC (7 years ago)",? 94,"1,693",
Imperator: Rome,Paradox Development Studio,Paradox Interactive,"April 25, 2019 ??16:00:01 UTC (9 months ago)",? 48,"1,638",
Project CARS 2,Slightly Mad Studios,BANDAI NAMCO Entertainment,"September 21, 2017 ??22:00:00 UTC (2 years ago)",? 73,"1,634",
Project Zomboid,The Indie Stone,The Indie Stone,"November 8, 2013 (6 years ago)",? 86,"1,633",
DRAGON QUEST BUILDERS??2,Square Enix,Square Enix,"December 10, 2019 ??17:11:41 UTC (about a month ago)",? 89,"1,660",
�?��式�???Chinese Parents,Store Name Chinese Parents,"Developer
墨鱼?�游??,September 29"," 2018 ??05:56:00 UTC (about a year ago)""",? 88,"1,902",
Football Manager 2020 Touch,Sports Interactive,SEGA,"November 19, 2019 ??17:00:00 UTC (2 months ago)",??76,"1,659",
Banished,Shining Rock Software LLC,Shining Rock Software LLC,"February 18, 2014 ??17:54:45 UTC (6 years ago)",? 88,"1,595",
Business Tour - Online Multiplayer Board Game,Store Name Business Tour - Board Game with Online Multiplayer,"Developer
Creobit","July 27, 2017 ??07:00:45 UTC (2 years ago)",? 66,"3,003",
Counter-Strike Nexon: Studio,"Valve Corporation, Nexon Korea Corporation",Nexon Korea Corporation,"October 7, 2014 ??16:00:00 UTC (5 years ago)",? 64,"1,622",
ROMANCE OF THE THREE KINGDOMS XIII,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","January 28, 2016 ??00:58:00 UTC (4 years ago)",? 47,"1,678",
Knight Online,Noah System,NTTGame,"January 25, 2016 ??23:59:00 UTC (4 years ago)",? 47,"1,925",
Crusaders of the Lost Idols,Codename Entertainment Inc.,Codename Entertainment Inc.,"October 13, 2015 ??16:59:02 UTC (4 years ago)",? 81,"1,547",
Sid Meier's Civilization IV: Beyond the Sword,Store Name Civilization IV: Beyond the Sword,"Developer
Firaxis Games","July 24, 2007 ??20:00:00 UTC (12 years ago)",? 91,"1,570",
Stormworks: Build and Rescue,Sunfire Software,Green Man Gaming Publishing,"February 28, 2018 ??17:59:08 UTC (2 years ago)",? 89,"1,517",
Nioh: Complete Edition,Store Name Nioh: Complete Edition / 仁王 Complete Edition,"Developer
KOEI TECMO GAMES CO., LTD.","November 7, 2017 ??08:09:43 UTC (2 years ago)",? 77,"1,554",
Slime Rancher,Monomi Park,Monomi Park,"August 1, 2017 ??16:00:00 UTC (2 years ago)",? 94,"1,495",
FaceRig,Holotech Studios,Holotech Studios,"July 7, 2015 ??14:51:57 UTC (5 years ago)",? 80,"1,729",
Realm Grinder,Divine Games,Kongregate,"June 15, 2017 ??17:39:24 UTC (3 years ago)",? 82,"1,562",
Age of Empires: Definitive Edition,Forgotten Empires,Xbox Game Studios,"August 19, 2019 ??15:01:00 UTC (5 months ago)",? 75,"1,450",
GemCraft - Frostborn Wrath,Game in a Bottle,Game in a Bottle,"January 10, 2020 ??15:08:28 UTC (a day ago)",??73,"1,480",
Noita,Nolla Games,Nolla Games,"September 24, 2019 ??15:00:47 UTC (4 months ago)",? 93,"1,440",
Minion Masters,BetaDwarf,BetaDwarf,"May 24, 2019 ??12:51:00 UTC (8 months ago)",? 90,"1,474",
Streets of Rogue,Matt Dabrowski,tinyBuild,"July 12, 2019 ??16:51:00 UTC (6 months ago)",? 93,"1,439",
MudRunner,Saber Interactive,Focus Home Interactive,"October 30, 2017 ??23:04:00 UTC (2 years ago)",? 85,"1,444",
Tropico 6,Limbic Entertainment,Kalypso Media,"March 29, 2019 ??17:00:00 UTC (10 months ago)",? 84,"1,423",
Pillars of Eternity II: Deadfire,Obsidian Entertainment,Versus Evil,"May 8, 2018 ??16:56:09 UTC (2 years ago)",? 82,"1,400",
?�灵笔�?-1v5(Notes of Soul),?�快?�工作�?,?�异调查管理局,"January 17, 2019 ??08:51:00 UTC (12 months ago)",? 82,"1,676",
Black Mesa,Crowbar Collective,Crowbar Collective,"May 5, 2015 ??14:41:33 UTC (5 years ago)",? 92,"1,406",
Cell to Singularity - Evolution Never Ends,Computer Lunch,Computer Lunch,"December 12, 2018 ??12:20:07 UTC (about a year ago)",? 84,"1,387",
Sid Meier's Civilization III: Complete,Store Name Sid Meier's Civilization® III Complete,"Developer
Firaxis Games","October 25, 2006 ??07:00:00 UTC (13 years ago)",? 84,"1,415",
Tomb Raider,Crystal Dynamics,Square Enix,"March 5, 2013 (7 years ago)",? 94,"1,436",
Dawn of Man,Madruga Works,Madruga Works,"March 1, 2019 ??08:59:08 UTC (11 months ago)",? 81,"1,370",
Football Manager 2015,Sports Interactive,SEGA,NULL,"1,368","1,394",
"STAR WARS??Knights of the Old Republic??II: The Sith Lords??Store Name STAR WARS??Knights of the Old Republic??II - The Sith Lords??""Developer",,,,,,
"Obsidian Entertainment""","February 8, 2005 (15 years ago)",? 88,"1,606",,,
Endless Space 2,Store Name Endless Space® 2,"Developer
AMPLITUDE Studios","May 18, 2017 ??16:54:00 UTC (3 years ago)",? 79,"1,359",
Watch_Dogs 2,Store Name Watch_Dogs® 2,"Developer
Ubisoft","November 29, 2016 (3 years ago)",? 79,"1,430",
Rising Storm 2: Vietnam,Antimatter Games,Tripwire Interactive,"May 30, 2017 ??17:01:00 UTC (3 years ago)",? 80,"1,507",
NBA 2K18,Visual Concepts,2K,"September 14, 2017 (2 years ago)",? 30,"1,490",
Watch_Dogs 2,Store Name Watch_Dogs® 2,"Developer
Ubisoft","November 29, 2016 (3 years ago)",? 79,"1,430",
NBA 2K18,Visual Concepts,2K,"September 14, 2017 (2 years ago)",? 30,"1,490",
Wolcen: Lords of Mayhem,WOLCEN Studio,WOLCEN Studio,"March 24, 2016 ??13:24:00 UTC (4 years ago)",? 71,"1,343",
Battle Brothers,Overhype Studios,Overhype Studios,"March 24, 2017 ??16:50:00 UTC (3 years ago)",? 85,"1,334",
MapleStory,Nexon,Nexon America Inc.,NULL,? 67,"1,748",
Rising Storm 2: Vietnam,Antimatter Games,Tripwire Interactive,"May 30, 2017 ??17:01:00 UTC (3 years ago)",? 80,"1,507",
Dishonored 2,Arkane Studios,Bethesda Softworks,"November 11, 2016 (3 years ago)",? 81,"1,320",
DCS World Steam Edition,Eagle Dynamics SA,The Fighter Collection,"August 2, 2013 ??20:51:00 UTC (6 years ago)",? 77,"1,330",
Divinity: Original Sin Enhanced Edition,Store Name Divinity: Original Sin - Enhanced Edition,"Developer
Larian Studios","October 27, 2015 ??14:04:00 UTC (4 years ago)",? 88,"1,317",
OMSI 2,Store Name OMSI 2: Steam Edition,"Developer
MR-Software GbR","December 11, 2013 ??17:05:00 UTC (6 years ago)",? 78,"1,384",
Batman?? Arkham Knight,Rocksteady Studios,Warner Bros. Interactive Entertainment,"June 23, 2015 ??07:00:00 UTC (5 years ago)",? 74,"1,332",
Assassin's Creed IV Black Flag,"Store Name Assassin?�s Creed® IV Black Flag??""Developer",,,,,
"Ubisoft Montreal""","November 19, 2013 (6 years ago)",? 86,"1,317",,,
大富�?0(Richman 10),Store Name Richman10,"Developer
Softstar Technology (Beijing) Co.,Ltd","October 24, 2019 ??15:52:00 UTC (3 months ago)",? 44,"1,415",
This War of Mine,11 bit studios,11 bit studios,"November 14, 2014 ??17:57:00 UTC (5 years ago)",? 93,"1,319",
TERA,"KRAFTON, Inc.",Gameforge 4D GmbH,"January 31, 2017 ??15:00:00 UTC (3 years ago)",? 74,"1,277",
Assetto Corsa Competizione,Kunos Simulazioni,505 Games,"May 29, 2019 ??15:58:11 UTC (8 months ago)",? 78,"1,442",
DiRT Rally 2.0,Codemasters,Codemasters,"February 26, 2019 ??00:02:00 UTC (11 months ago)",? 70,"1,288",
NieR:Automata??Square Enix,Square Enix,"March 17, 2017 ??15:59:00 UTC (3 years ago)",? 81,"1,273",,
Undertale,tobyfox,tobyfox,"September 15, 2015 ??15:58:00 UTC (4 years ago)",? 94,"1,300",
Crush Crush,Sad Panda Studios,Sad Panda Studios,"October 19, 2016 ??05:52:16 UTC (3 years ago)",? 87,"1,716",
The Elder Scrolls IV: Oblivion,Store Name The Elder Scrolls IV: Oblivion® Game of the Year Edition,"Developer
Bethesda Game Studios","June 16, 2009 ??16:00:00 UTC (11 years ago)",? 92,"1,387",
Source Filmmaker,Valve,Valve,"July 10, 2012 ??23:30:00 UTC (8 years ago)",? 91,"1,284",
Naval Action,Game-Labs,Game-Labs,"June 13, 2019 ??12:41:00 UTC (7 months ago)",? 62,"1,305",
Call of Duty: WWII - Multiplayer,Last Known Name Call of Duty®: WWII,"Developer
Sledgehammer Games","November 3, 2017 ??04:00:00 UTC (2 years ago)","1,244","1,421",
DRAGON BALL FighterZ,Arc System Works,BANDAI NAMCO Entertainment,"January 26, 2018 ??17:57:00 UTC (2 years ago)",? 83,"1,594",
Stick Fight: The Game,Landfall West,Landfall,"September 28, 2017 ??18:00:22 UTC (2 years ago)",? 89,"1,280",
Cuphead,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.,"September 29, 2017 ??12:57:00 UTC (2 years ago)",? 94,"1,225",
Star Trek Online,Cryptic Studios,Perfect World Entertainment,"January 31, 2012 ??21:08:00 UTC (8 years ago)",? 75,"1,365",
Yakuza 0,SEGA,SEGA,"August 1, 2018 ??14:00:00 UTC (about a year ago)",? 88,"1,241",
Pummel Party,Rebuilt Games,Rebuilt Games,"September 20, 2018 ??16:02:00 UTC (about a year ago)",? 87,"1,748",
My Summer Car,Amistech Games,Amistech Games,"October 24, 2016 ??13:57:32 UTC (3 years ago)",? 89,"1,196",
Brick Rigs,Lukas Rustemeyer,Lukas Rustemeyer,NULL,? 86,"1,210",
Cossacks 3,GSC Game World,GSC Game World,"September 20, 2016 ??19:18:00 UTC (3 years ago)",? 75,"1,293",
EARTH DEFENSE FORCE 5,SANDLOT,D3 PUBLISHER,"July 11, 2019 ??07:02:00 UTC (6 months ago)",? 90,"1,251",
XCOM: Enemy Unknown,Firaxis Games,2K,"October 9, 2012 ??04:00:00 UTC (7 years ago)",? 92,"1,249",
FreeStyle 2: Street Basketball,Store Name Freestyle 2: Street Basketball,"Developer
JOYCITY","April 1, 2015 ??18:12:00 UTC (5 years ago)",? 71,"1,198",
Will To Live Online,AlphaSoft LLC,AlphaSoft LLC,"April 5, 2018 ??13:04:00 UTC (2 years ago)",? 69,"1,183",
DRAGON BALL XENOVERSE 2,QLOC,BANDAI NAMCO Entertainment,"October 27, 2016 ??22:00:00 UTC (3 years ago)",? 81,"1,177",
March of Empires,Gameloft,Gameloft,"December 11, 2017 ??08:29:41 UTC (2 years ago)",??57,"1,261",
Shop Heroes,"Cloudcade, Inc.","Cloudcade, Inc.","August 15, 2016 ??20:16:44 UTC (3 years ago)",? 68,"1,175",
RPG Maker MV,KADOKAWA,Degica,"October 23, 2015 ??17:12:00 UTC (4 years ago)",? 86,"1,184",
Grand Theft Auto IV,Rockstar North,Rockstar Games,NULL,? 66,"1,177",
DRAGON BALL XENOVERSE 2,QLOC,BANDAI NAMCO Entertainment,"October 27, 2016 ??22:00:00 UTC (3 years ago)",? 81,"1,177",
Realm of the Mad God,Wild Shadow Studios,Deca Games,NULL,? 82,"1,278",
Far Cry New Dawn,Store Name Far Cry® New Dawn,"Developer
Ubisoft Montreal","February 15, 2019 ??17:00:00 UTC (11 months ago)",? 74,"1,136",
Robocraft,Freejam,Freejam,"August 24, 2017 ??13:17:15 UTC (2 years ago)",? 71,"1,136",
X4: Foundations,Egosoft,Egosoft,"November 30, 2018 ??14:11:46 UTC (about a year ago)",? 68,"1,122",
"STAR WARS?? Knights of the Old Republic??Store Name STAR WARS??- Knights of the Old Republic??""Developer",,,,,,
"BioWare""","September 5, 2009 ??07:00:00 UTC (10 years ago)",? 86,"1,362",,,
SoulWorker,Store Name SoulWorker - Anime Action MMO,"Developer
Lion Games Co., Ltd.","February 26, 2018 ??18:40:00 UTC (2 years ago)",? 76,"1,180",
PRO EVOLUTION SOCCER 2019,Konami Digital Entertainment,Konami Digital Entertainment,"August 30, 2018 ??00:00:00 UTC (about a year ago)",? 50,"1,142",
Wargame: Red Dragon,Eugen Systems,Eugen Systems,"April 17, 2014 ??17:00:00 UTC (6 years ago)",? 86,"1,105",
Aseprite,David Capello,Igara Studio,"February 22, 2016 ??12:38:51 UTC (4 years ago)",? 94,"1,124",
Borderlands: The Pre-Sequel,2K Australia,2K,"October 14, 2014 (5 years ago)",? 78,"1,071",
Operation Breakout®,Store Name Operation Breakout,"Developer
SGTTB_Studios","October 28, 2016 ??22:31:00 UTC (3 years ago)",??44,"6,945",
Stronghold Crusader HD,FireFly Studios,FireFly Studios,"July 31, 2002 (17 years ago)",? 92,"1,095",
Total War Saga: Thrones of Britannia,Store Name Total War Saga: THRONES OF BRITANNIA,"Developer
CREATIVE ASSEMBLY","May 3, 2018 ??05:00:00 UTC (2 years ago)",? 59,"1,086",
Life is Feudal: MMO,Bitbox Ltd.,Bitbox Ltd.,"January 12, 2018 ??17:05:00 UTC (2 years ago)",? 41,"1,192",
Workers & Resources: Soviet Republic,3Division,3Division,"March 15, 2019 ??13:54:57 UTC (10 months ago)",? 84,"1,082",
Rocksmith® 2014 Edition - Remastered,Ubisoft - San Francisco,Ubisoft,"October 22, 2013 ??17:00:00 UTC (6 years ago)",? 89,"1,162",
Sniper Ghost Warrior Contracts,CI Games,CI Games,"November 22, 2019 ??18:00:21 UTC (2 months ago)",? 74,"1,077",
Train Sim World® 2020,Dovetail Games,Dovetail Games - TSW,"March 16, 2017 ??17:00:00 UTC (3 years ago)",? 70,"1,077",
Out of the Park Baseball 20,Out of the Park Developments,Out of the Park Developments,"March 22, 2019 ??16:55:57 UTC (10 months ago)",? 86,"1,262",
ShellShock Live,kChamp Games,kChamp Games,"March 11, 2015 ??15:59:00 UTC (5 years ago)",? 89,"1,313",
Zula Europe,Store Name Zula - Europe,"Developer
Madbyte Games","November 24, 2016 ??15:50:00 UTC (3 years ago)",? 66,"1,127",
Borderlands: The Pre-Sequel,2K Australia,2K,"October 14, 2014 (5 years ago)",? 78,"1,073",
Spore,"Store Name SPORE??""Developer",,,,,
Maxis??,"December 19, 2008 ??08:00:00 UTC (11 years ago)",? 87,"1,053",,,
Victoria II,Paradox Development Studio,Paradox Interactive,NULL,? 87,"1,099",
Pillars of Eternity,Obsidian Entertainment,Paradox Interactive,"March 26, 2015 ??16:00:00 UTC (5 years ago)",? 84,"1,046",
Fallout: New Vegas RU,Store Name Fallout: New Vegas,"Developer
Obsidian Entertainment","October 20, 2010 ??03:00:00 UTC (9 years ago)",? 85,"1,060",
For The King,IronOak Games,Curve Digital,"April 19, 2018 ??15:01:00 UTC (2 years ago)",? 84,"1,049",
Call of Duty: Modern Warfare 2 - Multiplayer,Last Known Name Call of Duty®: Modern Warfare® 2,"Developer
Infinity Ward",NULL,"1,032","1,091",
Far Cry 4,Store Name Far Cry® 4,"Developer
Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","November 18, 2014 (5 years ago)",? 77,"1,032",
"Warhammer 40,000: Dawn of War - Soulstorm","Store Name Warhammer® 40,000: Dawn of War® - Soulstorm","Developer
Relic Entertainment","March 5, 2008 ??08:00:00 UTC (12 years ago)",? 92,"1,081",
TerraTech,Payload Studios,Payload Studios,"August 10, 2018 ??14:56:00 UTC (about a year ago)",? 83,"1,019",
Miscreated,Entrada Interactive LLC,Entrada Interactive LLC,"December 18, 2018 ??18:01:35 UTC (about a year ago)",? 67,"1,013",
VEGA Conflict,KIXEYE,KIXEYE,"December 14, 2015 ??22:58:47 UTC (4 years ago)",? 55,"1,027",
Grim Clicker,EvilCharm Games,EvilCharm Games,"January 9, 2020 ??19:14:42 UTC (2 days ago)",??73,"1,010",
Mafia III,Hangar 13,2K,"October 26, 2016 ??17:00:00 UTC (3 years ago)",? 51,993,
Bloons TD Battles,Ninja Kiwi,Ninja Kiwi,"April 20, 2016 ??11:58:00 UTC (4 years ago)",? 83,993,
?�剑奇谭�?Gujian3),上海?�龙信息科�??�限?�司,?�京网元?�唐娱乐科�??�限?�司,"December 14, 2018 ??15:47:31 UTC (about a year ago)",? 83,"1,186",
Wreckfest,Bugbear,THQ Nordic,"June 14, 2018 ??16:58:00 UTC (2 years ago)",? 78,"1,426",
Football Manager 2014,Sports Interactive,SEGA,"October 31, 2013 ??00:00:00 UTC (6 years ago)",983,983,
Forager,HopFrog,Humble Bundle,"April 18, 2019 ??17:00:21 UTC (9 months ago)",? 91,989,
Just Cause 4,Store Name Just Cause 4 Reloaded,"Developer
Avalanche Studios","December 4, 2018 ??16:57:00 UTC (about a year ago)",? 52,987,
DJMAX RESPECT V,NEOWIZ,NEOWIZ,"December 19, 2019 ??02:02:24 UTC (24 days ago)",? 87,"1,160",
Enderal: Forgotten Stories,SureAI,SureAI,"February 14, 2019 ??17:59:58 UTC (11 months ago)",? 90,972,
BONEWORKS,Stress Level Zero,Stress Level Zero,"December 10, 2019 ??17:58:40 UTC (about a month ago)",? 85,"1,324",
Gold Rush: The Game,Code Horizon,Code Horizon,"October 13, 2017 ??16:29:47 UTC (2 years ago)",? 65,955,
Digimon Masters Online,"Move Games Co., Ltd.",MOVE ON USA CO.,"November 3, 2016 ??12:50:00 UTC (3 years ago)",? 67,973,
BONEWORKS,Stress Level Zero,Stress Level Zero,"December 10, 2019 ??17:58:40 UTC (about a month ago)",? 85,"1,324",
Pavlov VR,Vankrupt Games,Vankrupt Games,"February 27, 2017 ??18:45:40 UTC (3 years ago)",? 90,"1,491",
Ravenfield,SteelRaven7,SteelRaven7,"May 18, 2017 ??15:53:00 UTC (3 years ago)",? 93,968,
Dragon's Dogma: Dark Arisen,Capcom,Capcom,"January 15, 2016 ??16:48:00 UTC (4 years ago)",? 86,955,
Arma 2: Operation Arrowhead,Bohemia Interactive,Bohemia Interactive,NULL,? 90,969,
Life is Feudal: Your Own,Bitbox Ltd.,Bitbox Ltd.,"November 17, 2015 ??17:35:00 UTC (4 years ago)",? 64,934,
Age of Civilizations II,Łukasz Jakowski,Łukasz Jakowski Games,"November 21, 2018 ??22:27:44 UTC (about a year ago)",? 79,961,
PC Building Simulator,Claudiu Kiss,The Irregular Corporation,"January 29, 2019 ??16:58:00 UTC (12 months ago)",? 90,941,
NOBUNAGA'S AMBITION: Taishi,Store Name NOBUNAGA'S AMBITION: Taishi / 信長??��?�･大志,"Developer
KOEI TECMO GAMES CO., LTD.","November 30, 2017 ??01:03:00 UTC (2 years ago)",? 39,"1,307",
Granado Espada,"IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.","October 16, 2017 ??06:34:00 UTC (2 years ago)",? 50,957,
